x,y
209952.9972,1541997
209952.9972,1542497
210952.9972,1542497
209952.9972,1542997
210452.9972,1542997
210952.9972,1542997
211452.9972,1542997
191952.9972,1543497
209452.9972,1543497
210452.9972,1543497
210952.9972,1543497
211452.9972,1543497
213452.9972,1543497
213952.9972,1543497
208452.9972,1543997
209452.9972,1543997
209952.9972,1543997
210452.9972,1543997
212452.9972,1543997
212952.9972,1543997
192452.9972,1544497
206952.9972,1544497
207452.9972,1544497
208952.9972,1544497
209452.9972,1544497
209952.9972,1544497
210452.9972,1544497
211952.9972,1544497
212452.9972,1544497
212952.9972,1544497
213952.9972,1544497
223452.9972,1544497
191952.9972,1544997
192452.9972,1544997
206452.9972,1544997
207452.9972,1544997
207952.9972,1544997
208452.9972,1544997
208952.9972,1544997
209452.9972,1544997
209952.9972,1544997
210452.9972,1544997
210952.9972,1544997
211452.9972,1544997
211952.9972,1544997
212452.9972,1544997
212952.9972,1544997
213452.9972,1544997
216452.9972,1544997
216952.9972,1544997
217452.9972,1544997
217952.9972,1544997
218452.9972,1544997
191952.9972,1545497
205452.9972,1545497
205952.9972,1545497
206952.9972,1545497
207452.9972,1545497
208452.9972,1545497
208952.9972,1545497
209452.9972,1545497
209952.9972,1545497
210452.9972,1545497
210952.9972,1545497
211452.9972,1545497
211952.9972,1545497
212452.9972,1545497
212952.9972,1545497
213452.9972,1545497
215952.9972,1545497
216452.9972,1545497
216952.9972,1545497
217952.9972,1545497
218452.9972,1545497
219952.9972,1545497
223952.9972,1545497
189952.9972,1545997
193452.9972,1545997
194452.9972,1545997
199452.9972,1545997
202952.9972,1545997
204952.9972,1545997
205952.9972,1545997
206452.9972,1545997
206952.9972,1545997
207452.9972,1545997
207952.9972,1545997
208452.9972,1545997
208952.9972,1545997
209452.9972,1545997
209952.9972,1545997
210452.9972,1545997
211452.9972,1545997
212452.9972,1545997
212952.9972,1545997
215452.9972,1545997
215952.9972,1545997
217452.9972,1545997
217952.9972,1545997
218452.9972,1545997
218952.9972,1545997
220452.9972,1545997
224452.9972,1545997
190452.9972,1546497
191452.9972,1546497
191952.9972,1546497
192452.9972,1546497
192952.9972,1546497
193952.9972,1546497
194452.9972,1546497
195452.9972,1546497
197452.9972,1546497
198452.9972,1546497
199452.9972,1546497
201452.9972,1546497
201952.9972,1546497
202952.9972,1546497
203452.9972,1546497
204952.9972,1546497
205452.9972,1546497
205952.9972,1546497
206452.9972,1546497
206952.9972,1546497
207452.9972,1546497
207952.9972,1546497
208452.9972,1546497
208952.9972,1546497
209452.9972,1546497
209952.9972,1546497
210452.9972,1546497
210952.9972,1546497
211452.9972,1546497
211952.9972,1546497
212452.9972,1546497
212952.9972,1546497
214452.9972,1546497
215452.9972,1546497
216952.9972,1546497
217452.9972,1546497
218952.9972,1546497
219452.9972,1546497
220452.9972,1546497
220952.9972,1546497
223952.9972,1546497
224452.9972,1546497
187452.9972,1546997
189452.9972,1546997
189952.9972,1546997
190452.9972,1546997
