cell_id,site_effort,elevation,ndvi,dist_water,dist_roads,roads_hii,dist_fe,block
68,-0.10779627672487983,-0.13928859729426488,-0.7666298344064438,-0.590491416804414,-1.2009569882788729,1.5161508413109168,-0.9751404434906272,1
70,-0.10779627672487983,0.9414295882214134,0.7766960526000022,-1.3601015660593796,-0.69036960871845,-0.06450633417569425,-0.5705644522545947,1
75,-0.10779627672487983,0.938161089506736,-1.1969813070959137,0.9717355396571682,-0.4430539548136686,-0.25171861229987946,-0.5244754696579291,1
92,-0.10779627672487983,1.8006614986944869,0.1293926653106587,1.3626923121897585,-0.8796415809154282,0.21155070533954776,-0.742219996062767,1
98,-0.10779627672487983,-0.6133854523110421,0.0966930785112226,-0.9875938467795764,-0.6438806386643331,0.977534889254682,-0.18218180143829577,1
114,-0.10779627672487983,2.5716843047729805,-0.15646026941175,1.6806692595724957,-0.4278551545193532,-0.34768425067609104,-0.553244444356572,1
118,-0.10779627672487983,0.7418980773188601,1.148546234477806,0.2974698345916852,-0.3180727771567547,-0.27975713248566514,-0.01389421044101692,1
140,-0.3054227840538258,0.811262894318727,0.30763288977099285,-1.28089111317224,-0.05576265826905338,-0.3166448535477329,0.30015536027838563,1
159,-0.3054227840538258,1.7565227359206237,-0.1694560723673144,-0.33294406426162015,-0.30408873358750543,-0.2078782695366728,-0.91345291865579,1
160,-0.3054227840538258,1.5925180198933755,0.2040588163048024,-0.2861699529433077,-0.44181843053385506,-0.08226887276715733,-0.5329387275677927,1
162,-0.3054227840538258,1.327565703353213,0.36373233122212223,-0.5200310870863472,-0.9135574666880454,0.869918310401518,-0.12787071923175347,1
163,-0.5030492913827717,0.9169654174733975,0.29772250788178856,-1.0162441475771469,-1.124734344017048,1.5967800234750045,0.46942659856114705,1
181,-0.3054227840538258,1.6055895810134126,0.4848337509770542,-0.15572813311575923,-1.0941380356886754,1.1681485561093692,-0.6508520364406376,1
183,-0.3054227840538258,1.4386960923003862,-0.27060939719184457,-0.29861619980344806,-1.2181407057092315,2.196812779293688,-0.6172947180500783,1
186,-1.1947420670340825,0.9373484901617556,-0.359503308999878,0.7880513668132375,-1.2698092382529265,1.9727081437620864,0.517661464421708,1
188,-1.2935553206985553,-0.41732835970457854,-0.07972660005637755,0.01769297419075804,-0.7268857230503293,0.35714526803288604,0.00477994304292586,1
203,-0.3054227840538258,0.8503621354188429,1.0764417772355537,-0.5892611815433583,-1.428591658063473,2.1287179438629176,-0.7803029155417621,1
207,-0.40423603771829875,2.946008145432686,-2.6302990341102004,1.5382446427457197,-1.148929507430965,2.137038103410971,-0.8598762416847152,1
209,-1.1947420670340825,-0.04369638011861508,1.1801551759722255,-1.1277218427337314,-1.2719124070075225,1.968161518991831,0.23642324087658745,1
210,-1.2935553206985553,-0.33204130833008527,0.3543715916826736,-0.5861928284851204,-1.3609053002467484,2.17625680349748,-0.8198594819233335,1
211,-1.2935553206985553,-0.7552626017097683,0.0141144298927594,-0.5917234692519704,-1.2519294809763055,1.9775481059306308,-0.6658529615485195,1
226,-0.3054227840538258,1.0921471028339114,0.9678378148088193,-1.0824058889759205,-1.0693323896710878,1.108993525837208,-0.7722712055180193,1
228,-0.3054227840538258,2.7885147589228505,-1.046566778701692,1.425719339571412,-0.8718274979864151,0.2716590439400365,1.0999582163845056,1
229,-0.40423603771829875,2.852869292729851,-2.458578849578795,0.7201906233394005,-1.0264207398429488,1.0401212464818532,-0.7115687650797807,1
231,-0.2066095303893528,-0.0987012445260496,1.6810439739147147,0.22837851934077383,-0.5701982257865605,0.06411148939714659,-0.07923114077148999,1
247,-0.3054227840538258,1.4629022857374634,0.6579133493827839,0.2742218273514436,-0.602990630415641,-0.07449401621306413,0.03371882849429813,1
248,-0.2066095303893528,1.517766739663579,-0.9588918256725834,0.5587918873159062,-0.322120707600627,-0.14499274780346602,-0.954027512442622,1
275,-0.2066095303893528,0.7311578996958381,0.02311656492472043,0.8597944282912725,1.1244902994747406,-0.8897593556496116,0.8117515515843082,1
276,-0.2066095303893528,-0.05354104963709368,0.38468777411019794,-1.4462954666691734,1.063614932631601,-0.8781303161144025,-0.2907933533385233,1
278,-0.3054227840538258,0.11334326258659758,-2.9215764687972063,0.6961783209175545,0.39610389748598573,-0.6104107671243637,-1.3977758639306803,1
341,-0.2066095303893528,1.2354300854380873,-0.2020923592946855,-1.0824058889759205,2.431402685663286,-1.053388989064853,0.540072770089627,1
342,-0.2066095303893528,0.5849126522416149,-0.6323356802817705,-1.0380224547574468,1.549520817666497,-0.984407389985473,-0.5622046110715876,1
343,-0.2066095303893528,-0.23226244863381973,-1.0725145811560777,-1.0162441475771469,0.6792051706150987,-0.8147568630710725,-0.869734547573804,1
